TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.18 02:00:00,2,2,2,AUDUSD,BUY,IN,2.50,0.65532,0.65332,0.65932,0.00,0.00,0.00,Employment Change
2024.01.18 02:30:27,3,3,2,AUDUSD,SELL,OUT,2.50,0.65332,0.65332,0.65932,-500.00,0.00,0.00,sl 0.65332
2024.01.19 22:00:00,4,4,4,AUDUSD,BUY,IN,2.37,0.65974,0.65774,0.66374,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.01.22 20:20:13,5,5,4,AUDUSD,SELL,OUT,2.37,0.65773,0.65774,0.66374,-476.37,-8.22,0.00,sl 0.65774
2024.01.26 22:00:00,6,6,6,AUDUSD,BUY,IN,2.25,0.65833,0.65633,0.66233,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.01.30 02:47:36,7,7,6,AUDUSD,SELL,OUT,2.25,0.66234,0.65633,0.66233,902.25,-15.62,0.00,tp 0.66233
2024.02.02 22:00:00,8,8,8,AUDUSD,BUY,IN,2.47,0.65181,0.64981,0.65581,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.05 01:07:20,9,9,8,AUDUSD,SELL,OUT,2.47,0.64981,0.64981,0.65581,-494.00,-8.57,0.00,sl 0.64981
2024.02.05 02:00:00,10,10,10,AUDUSD,SELL,IN,2.34,0.65043,0.65243,0.64643,0.00,0.00,0.00,ANZ Job Advertisements m/m
2024.02.06 19:45:40,11,11,10,AUDUSD,BUY,OUT,2.34,0.65243,0.65243,0.64643,-468.00,-2.11,0.00,sl 0.65243
2024.02.06 23:00:00,12,12,12,AUDUSD,SELL,IN,2.23,0.65234,0.65434,0.64834,0.00,0.00,0.00,Ai Group Industry Index
2024.02.08 15:47:39,13,13,12,AUDUSD,BUY,OUT,2.23,0.64834,0.65434,0.64834,892.00,-8.03,0.00,tp 0.64834
2024.02.09 22:00:00,14,14,14,AUDUSD,BUY,IN,2.45,0.65218,0.65018,0.65618,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.13 15:30:32,15,15,14,AUDUSD,SELL,OUT,2.45,0.65018,0.65018,0.65618,-490.00,-17.00,0.00,sl 0.65018
2024.02.16 22:00:00,16,16,16,AUDUSD,BUY,IN,2.32,0.65347,0.65147,0.65747,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.20 15:55:39,17,17,16,AUDUSD,SELL,OUT,2.32,0.65747,0.65147,0.65747,928.00,-16.10,0.00,tp 0.65747
2024.02.23 22:00:00,18,18,18,AUDUSD,BUY,IN,2.55,0.65664,0.65464,0.66064,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.26 10:02:28,19,19,18,AUDUSD,SELL,OUT,2.55,0.65463,0.65464,0.66064,-512.55,-8.85,0.00,sl 0.65464
2024.03.15 21:00:00,20,20,20,AUDUSD,BUY,IN,2.42,0.65645,0.65445,0.66045,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.03.19 03:30:26,21,21,20,AUDUSD,SELL,OUT,2.42,0.65445,0.65445,0.66045,-484.00,-16.80,0.00,sl 0.65445
2024.03.22 22:00:00,22,22,22,AUDUSD,BUY,IN,2.29,0.65138,0.64938,0.65538,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.03.26 03:22:26,23,23,22,AUDUSD,SELL,OUT,2.29,0.65538,0.64938,0.65538,916.00,-15.90,0.00,tp 0.65538
2024.04.08 03:00:00,24,24,24,AUDUSD,BUY,IN,2.52,0.65708,0.65508,0.66108,0.00,0.00,0.00,Home Loans m/m
2024.04.09 04:34:24,25,25,24,AUDUSD,SELL,OUT,2.52,0.66108,0.65508,0.66108,1008.00,-8.74,0.00,tp 0.66108
2024.04.18 03:00:00,26,26,26,AUDUSD,BUY,IN,2.77,0.64401,0.64201,0.64801,0.00,0.00,0.00,Employment Change
2024.04.18 20:19:28,27,27,26,AUDUSD,SELL,OUT,2.77,0.64200,0.64201,0.64801,-556.77,0.00,0.00,sl 0.64201
2024.04.19 21:00:00,28,28,28,AUDUSD,BUY,IN,2.63,0.64232,0.64032,0.64632,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.04.23 05:17:42,29,29,28,AUDUSD,SELL,OUT,2.63,0.64632,0.64032,0.64632,1052.00,-18.26,0.00,tp 0.64632
2024.05.03 21:00:00,30,30,30,AUDUSD,SELL,IN,2.89,0.66126,0.66326,0.65726,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.05.06 15:02:37,31,31,30,AUDUSD,BUY,OUT,2.89,0.66327,0.66326,0.65726,-580.89,-2.60,0.00,sl 0.66326
