TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.19 22:00:00,2,2,2,AUDUSD,SELL,IN,2.50,0.65960,0.66160,0.65560,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.01.23 19:40:32,3,3,2,AUDUSD,BUY,OUT,2.50,0.65560,0.66160,0.65560,1000.00,-4.50,0.00,tp 0.65560
2024.01.26 22:00:00,4,4,4,AUDUSD,SELL,IN,2.74,0.65819,0.66019,0.65419,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.01.29 09:38:39,5,5,4,AUDUSD,BUY,OUT,2.74,0.66020,0.66019,0.65419,-550.74,-2.47,0.00,sl 0.66019
2024.02.06 23:00:00,6,6,6,AUDUSD,SELL,IN,2.61,0.65234,0.65434,0.64834,0.00,0.00,0.00,Ai Group Industry Index
2024.02.08 15:47:39,7,7,6,AUDUSD,BUY,OUT,2.61,0.64834,0.65434,0.64834,1044.00,-9.40,0.00,tp 0.64834
2024.02.09 22:00:00,8,8,8,AUDUSD,SELL,IN,2.86,0.65204,0.65404,0.64804,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.12 19:06:12,9,9,8,AUDUSD,BUY,OUT,2.86,0.65404,0.65404,0.64804,-572.00,-2.57,0.00,sl 0.65404
2024.02.16 22:00:00,10,10,10,AUDUSD,SELL,IN,2.72,0.65331,0.65531,0.64931,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.19 03:16:42,11,11,10,AUDUSD,BUY,OUT,2.72,0.65533,0.65531,0.64931,-549.44,-2.45,0.00,sl 0.65531
2024.02.23 22:00:00,12,12,12,AUDUSD,SELL,IN,2.58,0.65649,0.65849,0.65249,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.28 05:15:16,13,13,12,AUDUSD,BUY,OUT,2.58,0.65247,0.65849,0.65249,1037.16,-6.96,0.00,tp 0.65249
2024.02.29 23:00:00,14,14,14,AUDUSD,SELL,IN,2.84,0.64992,0.65192,0.64592,0.00,0.00,0.00,S&P Global Manufacturing PMI
2024.03.01 17:15:31,15,15,14,AUDUSD,BUY,OUT,2.84,0.65194,0.65192,0.64592,-573.68,-2.56,0.00,sl 0.65192
2024.03.06 02:00:00,16,16,16,AUDUSD,SELL,IN,2.70,0.65034,0.65234,0.64634,0.00,0.00,0.00,GDP q/q
2024.03.06 09:08:31,17,17,16,AUDUSD,BUY,OUT,2.70,0.65234,0.65234,0.64634,-540.00,0.00,0.00,sl 0.65234
2024.03.08 22:00:00,18,18,18,AUDUSD,SELL,IN,2.56,0.66251,0.66451,0.65851,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.03.12 14:30:32,19,19,18,AUDUSD,BUY,OUT,2.56,0.65849,0.66451,0.65851,1029.12,-4.60,0.00,tp 0.65851
2024.04.18 03:00:00,20,20,20,AUDUSD,BUY,IN,2.82,0.64401,0.64201,0.64801,0.00,0.00,0.00,Employment Change
