TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.18 02:00:00,2,2,2,AUDUSD,SELL,IN,2.50,0.65519,0.65719,0.65119,0.00,0.00,0.00,Employment Change
2024.01.18 14:01:28,3,3,2,AUDUSD,BUY,OUT,2.50,0.65721,0.65719,0.65119,-505.00,0.00,0.00,sl 0.65719
2024.01.19 22:00:00,4,4,4,AUDUSD,SELL,IN,2.37,0.65960,0.66160,0.65560,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.01.23 19:40:32,5,5,4,AUDUSD,BUY,OUT,2.37,0.65560,0.66160,0.65560,948.00,-4.26,0.00,tp 0.65560
2024.01.26 22:00:00,6,6,6,AUDUSD,SELL,IN,2.60,0.65819,0.66019,0.65419,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.01.29 09:38:39,7,7,6,AUDUSD,BUY,OUT,2.60,0.66020,0.66019,0.65419,-522.60,-2.34,0.00,sl 0.66019
2024.02.02 22:00:00,8,8,8,AUDUSD,SELL,IN,2.47,0.65165,0.65365,0.64765,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.05 17:00:00,9,9,8,AUDUSD,BUY,OUT,2.47,0.64762,0.65365,0.64765,995.41,-2.22,0.00,tp 0.64765
2024.02.09 22:00:00,10,10,10,AUDUSD,SELL,IN,2.72,0.65204,0.65404,0.64804,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.12 19:06:12,11,11,10,AUDUSD,BUY,OUT,2.72,0.65404,0.65404,0.64804,-544.00,-2.45,0.00,sl 0.65404
2024.02.16 22:00:00,12,12,12,AUDUSD,SELL,IN,2.59,0.65331,0.65531,0.64931,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.19 03:16:42,13,13,12,AUDUSD,BUY,OUT,2.59,0.65533,0.65531,0.64931,-523.18,-2.33,0.00,sl 0.65531
2024.02.23 22:00:00,14,14,14,AUDUSD,SELL,IN,2.45,0.65649,0.65849,0.65249,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.02.28 05:15:16,15,15,14,AUDUSD,BUY,OUT,2.45,0.65247,0.65849,0.65249,984.90,-6.63,0.00,tp 0.65249
2024.03.08 22:00:00,16,16,16,AUDUSD,SELL,IN,2.70,0.66251,0.66451,0.65851,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.03.12 14:30:32,17,17,16,AUDUSD,BUY,OUT,2.70,0.65849,0.66451,0.65851,1085.40,-4.86,0.00,tp 0.65851
2024.03.15 21:00:00,18,18,18,AUDUSD,SELL,IN,2.97,0.65631,0.65831,0.65231,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.03.19 07:25:25,19,19,18,AUDUSD,BUY,OUT,2.97,0.65231,0.65831,0.65231,1188.00,-5.34,0.00,tp 0.65231
2024.03.22 22:00:00,20,20,20,AUDUSD,SELL,IN,3.26,0.65124,0.65324,0.64724,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.03.25 03:16:28,21,21,20,AUDUSD,BUY,OUT,3.26,0.65326,0.65324,0.64724,-658.52,-2.93,0.00,sl 0.65324
2024.04.08 03:00:00,22,22,22,AUDUSD,BUY,IN,3.10,0.65708,0.65508,0.66108,0.00,0.00,0.00,Home Loans m/m
2024.04.09 04:34:24,23,23,22,AUDUSD,SELL,OUT,3.10,0.66108,0.65508,0.66108,1240.00,-10.76,0.00,tp 0.66108
2024.04.18 03:00:00,24,24,24,AUDUSD,SELL,IN,3.41,0.64386,0.64586,0.63986,0.00,0.00,0.00,Employment Change
2024.04.19 04:09:42,25,25,24,AUDUSD,BUY,OUT,3.41,0.63986,0.64586,0.63986,1364.00,-3.07,0.00,tp 0.63986
2024.04.19 21:00:00,26,26,26,AUDUSD,SELL,IN,3.75,0.64220,0.64420,0.63820,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.04.22 03:18:00,27,27,26,AUDUSD,BUY,OUT,3.75,0.64423,0.64420,0.63820,-761.25,-3.38,0.00,sl 0.64420
2024.05.17 22:00:00,28,28,28,AUDUSD,SELL,IN,3.56,0.66977,0.67177,0.66577,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.05.21 05:04:26,29,29,28,AUDUSD,BUY,OUT,3.56,0.66574,0.67177,0.66577,1434.68,-6.40,0.00,tp 0.66577
2024.06.07 22:00:00,30,30,30,AUDUSD,SELL,IN,3.91,0.65873,0.66073,0.65473,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.06.10 18:26:31,31,31,30,AUDUSD,BUY,OUT,3.91,0.66073,0.66073,0.65473,-782.00,-3.52,0.00,sl 0.66073
2024.06.14 22:00:00,32,32,32,AUDUSD,SELL,IN,3.72,0.66129,0.66329,0.65729,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.06.18 09:37:16,33,33,32,AUDUSD,BUY,OUT,3.72,0.66329,0.66329,0.65729,-744.00,-6.70,0.00,sl 0.66329
2024.07.08 21:00:00,34,34,34,AUDUSD,BUY,IN,3.53,0.67437,0.67237,0.67837,0.00,0.00,0.00,CFTC AUD Non-Commercial Net Pos
2024.07.11 15:30:39,35,35,34,AUDUSD,SELL,OUT,3.53,0.67837,0.67237,0.67837,1412.00,-61.25,0.00,tp 0.67837
