TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.08 10:00:00,2,2,2,EURUSD,SELL,IN,2.50,1.09452,1.09652,1.09052,0.00,0.00,0.00,Business Climate Indicator
2024.01.08 17:10:17,3,3,2,EURUSD,BUY,OUT,2.50,1.09652,1.09652,1.09052,-500.00,0.00,0.00,sl 1.09652
2024.01.19 22:00:00,4,4,4,EURUSD,SELL,IN,2.37,1.08922,1.09122,1.08522,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.23 08:54:40,5,5,4,EURUSD,BUY,OUT,2.37,1.09122,1.09122,1.08522,-474.00,14.56,0.00,sl 1.09122
2024.01.23 16:00:00,6,6,6,EURUSD,SELL,IN,2.26,1.08740,1.08940,1.08340,0.00,0.00,0.00,Consumer Confidence Index
2024.01.23 17:34:59,7,7,6,EURUSD,BUY,OUT,2.26,1.08338,1.08940,1.08340,908.52,0.00,0.00,tp 1.08340
2024.01.26 22:00:00,8,8,8,EURUSD,SELL,IN,2.48,1.08581,1.08781,1.08181,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.29 12:22:29,9,9,8,EURUSD,BUY,OUT,2.48,1.08181,1.08781,1.08181,992.00,7.61,0.00,tp 1.08181
2024.02.15 11:00:00,10,10,10,EURUSD,SELL,IN,2.73,1.07306,1.07506,1.06906,0.00,0.00,0.00,Trade Balance
2024.02.15 15:21:33,11,11,10,EURUSD,BUY,OUT,2.73,1.07506,1.07506,1.06906,-546.00,0.00,0.00,sl 1.07506
2024.02.21 16:00:00,12,12,12,EURUSD,BUY,IN,2.60,1.08112,1.07912,1.08512,0.00,0.00,0.00,Consumer Confidence Index
2024.02.22 09:40:03,13,13,12,EURUSD,SELL,OUT,2.60,1.08512,1.07912,1.08512,1040.00,-42.59,0.00,tp 1.08512
2024.02.23 22:00:00,14,14,14,EURUSD,BUY,IN,2.85,1.08239,1.08039,1.08639,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.02.27 10:37:05,15,15,14,EURUSD,SELL,OUT,2.85,1.08640,1.08039,1.08639,1142.85,-31.12,0.00,tp 1.08639
2024.03.05 10:00:00,16,16,16,EURUSD,BUY,IN,3.12,1.08472,1.08272,1.08872,0.00,0.00,0.00,S&P Global Services PMI
2024.03.06 16:01:38,17,17,16,EURUSD,SELL,OUT,3.12,1.08872,1.08272,1.08872,1248.00,-17.04,0.00,tp 1.08872
2024.03.08 22:00:00,18,18,18,EURUSD,BUY,IN,3.43,1.09427,1.09227,1.09827,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.03.11 15:48:59,19,19,18,EURUSD,SELL,OUT,3.43,1.09226,1.09227,1.09827,-689.43,-18.73,0.00,sl 1.09227
2024.03.15 12:00:00,20,20,20,EURUSD,SELL,IN,3.25,1.08981,1.09181,1.08581,0.00,0.00,0.00,Official Reserve Assets
2024.03.19 09:51:24,21,21,20,EURUSD,BUY,OUT,3.25,1.08581,1.09181,1.08581,1300.00,19.96,0.00,tp 1.08581
2024.03.29 21:00:00,22,22,22,EURUSD,SELL,IN,3.58,1.07897,1.08097,1.07497,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.04.01 17:06:20,23,23,22,EURUSD,BUY,OUT,3.58,1.07497,1.08097,1.07497,1432.00,10.99,0.00,tp 1.07497
