TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.08 10:00:00,2,2,2,EURUSD,SELL,IN,2.50,1.09452,1.09652,1.09052,0.00,0.00,0.00,Business Climate Indicator
2024.01.08 17:10:17,3,3,2,EURUSD,BUY,OUT,2.50,1.09652,1.09652,1.09052,-500.00,0.00,0.00,sl 1.09652
2024.01.19 22:00:00,4,4,4,EURUSD,SELL,IN,2.37,1.08922,1.09122,1.08522,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.23 08:54:40,5,5,4,EURUSD,BUY,OUT,2.37,1.09122,1.09122,1.08522,-474.00,14.56,0.00,sl 1.09122
2024.01.23 16:00:00,6,6,6,EURUSD,SELL,IN,2.26,1.08740,1.08940,1.08340,0.00,0.00,0.00,Consumer Confidence Index
2024.01.23 17:34:59,7,7,6,EURUSD,BUY,OUT,2.26,1.08338,1.08940,1.08340,908.52,0.00,0.00,tp 1.08340
2024.01.26 22:00:00,8,8,8,EURUSD,SELL,IN,2.48,1.08581,1.08781,1.08181,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.29 12:22:29,9,9,8,EURUSD,BUY,OUT,2.48,1.08181,1.08781,1.08181,992.00,7.61,0.00,tp 1.08181
2024.02.02 23:00:00,10,10,10,EURUSD,BUY,IN,2.73,1.07939,1.07739,1.08339,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.02.05 01:09:34,11,11,10,EURUSD,SELL,OUT,2.73,1.07739,1.07739,1.08339,-546.00,-14.91,0.00,sl 1.07739
2024.02.15 11:00:00,12,12,12,EURUSD,SELL,IN,2.59,1.07306,1.07506,1.06906,0.00,0.00,0.00,Trade Balance
2024.02.15 15:21:33,13,13,12,EURUSD,BUY,OUT,2.59,1.07506,1.07506,1.06906,-518.00,0.00,0.00,sl 1.07506
2024.02.21 16:00:00,14,14,14,EURUSD,BUY,IN,2.46,1.08112,1.07912,1.08512,0.00,0.00,0.00,Consumer Confidence Index
2024.02.22 09:40:03,15,15,14,EURUSD,SELL,OUT,2.46,1.08512,1.07912,1.08512,984.00,-40.29,0.00,tp 1.08512
2024.02.23 23:00:00,16,16,16,EURUSD,BUY,IN,2.70,1.08231,1.08031,1.08631,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.02.27 10:36:35,17,17,16,EURUSD,SELL,OUT,2.70,1.08631,1.08031,1.08631,1080.00,-29.48,0.00,tp 1.08631
2024.03.05 10:00:00,18,18,18,EURUSD,BUY,IN,2.96,1.08472,1.08272,1.08872,0.00,0.00,0.00,S&P Global Services PMI
2024.03.06 16:01:38,19,19,18,EURUSD,SELL,OUT,2.96,1.08872,1.08272,1.08872,1184.00,-16.16,0.00,tp 1.08872
2024.03.08 22:00:00,20,20,20,EURUSD,BUY,IN,3.25,1.09427,1.09227,1.09827,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.03.11 15:48:59,21,21,20,EURUSD,SELL,OUT,3.25,1.09226,1.09227,1.09827,-653.25,-17.75,0.00,sl 1.09227
2024.03.15 12:00:00,22,22,22,EURUSD,SELL,IN,3.09,1.08981,1.09181,1.08581,0.00,0.00,0.00,Official Reserve Assets
2024.03.19 09:51:24,23,23,22,EURUSD,BUY,OUT,3.09,1.08581,1.09181,1.08581,1236.00,18.98,0.00,tp 1.08581
