TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.05 23:00:00,2,2,2,EURUSD,BUY,IN,2.50,1.09403,1.09203,1.09803,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.08 10:00:00,3,3,2,EURUSD,SELL,OUT,2.50,1.09452,1.09203,1.09803,122.50,-13.65,0.00,
2024.01.08 10:00:00,4,4,4,EURUSD,SELL,IN,2.50,1.09452,1.09652,1.09052,0.00,0.00,0.00,Business Climate Indicator
2024.01.08 17:10:17,5,5,4,EURUSD,BUY,OUT,2.50,1.09652,1.09652,1.09052,-500.00,0.00,0.00,sl 1.09652
2024.01.12 22:00:00,6,6,6,EURUSD,SELL,IN,2.40,1.09558,1.09758,1.09158,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.16 06:47:54,7,7,6,EURUSD,BUY,OUT,2.40,1.09158,1.09758,1.09158,960.00,14.74,0.00,tp 1.09158
2024.01.18 11:00:00,8,8,8,EURUSD,SELL,IN,2.64,1.08795,1.08995,1.08395,0.00,0.00,0.00,Construction Output m/m
2024.01.18 11:32:37,9,9,8,EURUSD,BUY,OUT,2.64,1.08996,1.08995,1.08395,-530.64,0.00,0.00,sl 1.08995
2024.01.19 22:00:00,10,10,10,EURUSD,SELL,IN,2.51,1.08922,1.09122,1.08522,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.23 08:54:40,11,11,10,EURUSD,BUY,OUT,2.51,1.09122,1.09122,1.08522,-502.00,15.42,0.00,sl 1.09122
2024.01.23 16:00:00,12,12,12,EURUSD,SELL,IN,2.39,1.08740,1.08940,1.08340,0.00,0.00,0.00,Consumer Confidence Index
2024.01.23 17:34:59,13,13,12,EURUSD,BUY,OUT,2.39,1.08338,1.08940,1.08340,960.78,0.00,0.00,tp 1.08340
2024.01.24 12:00:00,14,14,14,EURUSD,BUY,IN,2.63,1.09032,1.08832,1.09432,0.00,0.00,0.00,S&P Global Manufacturing PMI
2024.01.24 21:20:56,15,15,14,EURUSD,SELL,OUT,2.63,1.08832,1.08832,1.09432,-526.00,0.00,0.00,sl 1.08832
2024.01.26 22:00:00,16,16,16,EURUSD,SELL,IN,2.50,1.08581,1.08781,1.08181,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.29 12:22:29,17,17,16,EURUSD,BUY,OUT,2.50,1.08181,1.08781,1.08181,1000.00,7.68,0.00,tp 1.08181
2024.02.02 23:00:00,18,18,18,EURUSD,BUY,IN,2.75,1.07939,1.07739,1.08339,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.02.05 01:09:34,19,19,18,EURUSD,SELL,OUT,2.75,1.07739,1.07739,1.08339,-550.00,-15.02,0.00,sl 1.07739
2024.02.20 11:00:00,20,20,20,EURUSD,BUY,IN,2.61,1.07766,1.07566,1.08166,0.00,0.00,0.00,Construction Output m/m
2024.02.20 15:45:40,21,21,20,EURUSD,SELL,OUT,2.61,1.08168,1.07566,1.08166,1049.22,0.00,0.00,tp 1.08166
2024.02.21 16:00:00,22,22,22,EURUSD,BUY,IN,2.87,1.08112,1.07912,1.08512,0.00,0.00,0.00,Consumer Confidence Index
2024.02.22 09:40:03,23,23,22,EURUSD,SELL,OUT,2.87,1.08512,1.07912,1.08512,1148.00,-47.01,0.00,tp 1.08512
2024.02.23 23:00:00,24,24,24,EURUSD,BUY,IN,3.14,1.08231,1.08031,1.08631,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.02.27 10:36:35,25,25,24,EURUSD,SELL,OUT,3.14,1.08631,1.08031,1.08631,1256.00,-34.28,0.00,tp 1.08631
2024.03.05 10:00:00,26,26,26,EURUSD,SELL,IN,3.45,1.08462,1.08662,1.08062,0.00,0.00,0.00,S&P Global Services PMI
2024.03.05 17:00:39,27,27,26,EURUSD,BUY,OUT,3.45,1.08662,1.08662,1.08062,-690.00,0.00,0.00,sl 1.08662
2024.03.08 22:00:00,28,28,28,EURUSD,BUY,IN,3.28,1.09427,1.09227,1.09827,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.03.11 15:48:59,29,29,28,EURUSD,SELL,OUT,3.28,1.09226,1.09227,1.09827,-659.28,-17.91,0.00,sl 1.09227
2024.03.29 21:00:00,30,30,30,EURUSD,SELL,IN,3.11,1.07897,1.08097,1.07497,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.04.01 17:06:20,31,31,30,EURUSD,BUY,OUT,3.11,1.07497,1.08097,1.07497,1244.00,9.55,0.00,tp 1.07497
2024.04.19 21:00:00,32,32,32,EURUSD,SELL,IN,3.42,1.06557,1.06757,1.06157,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.04.23 10:30:18,33,33,32,EURUSD,BUY,OUT,3.42,1.06757,1.06757,1.06157,-684.00,21.00,0.00,sl 1.06757
2024.04.26 21:00:00,34,34,34,EURUSD,SELL,IN,3.25,1.06941,1.07141,1.06541,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.04.29 04:30:39,35,35,34,EURUSD,BUY,OUT,3.25,1.07141,1.07141,1.06541,-650.00,9.98,0.00,sl 1.07141
2024.05.06 09:00:00,36,36,36,EURUSD,SELL,IN,3.09,1.07609,1.07809,1.07209,0.00,0.00,0.00,S&P Global Services PMI
2024.05.06 10:00:00,37,37,36,EURUSD,BUY,OUT,3.09,1.07633,1.07809,1.07209,-74.16,0.00,0.00,
2024.05.06 10:00:00,38,38,38,EURUSD,BUY,IN,3.09,1.07633,1.07433,1.08033,0.00,0.00,0.00,PPI m/m
2024.05.08 04:21:32,39,39,38,EURUSD,SELL,OUT,3.09,1.07433,1.07433,1.08033,-618.00,-33.74,0.00,sl 1.07433
2024.05.14 11:00:00,40,40,40,EURUSD,BUY,IN,2.91,1.07882,1.07682,1.08282,0.00,0.00,0.00,ZEW Economic Sentiment Indicato
2024.05.14 15:30:41,41,41,40,EURUSD,SELL,OUT,2.91,1.07682,1.07682,1.08282,-582.00,0.00,0.00,sl 1.07682
2024.05.17 21:00:00,42,42,42,EURUSD,BUY,IN,2.77,1.08745,1.08545,1.09145,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.05.20 15:30:05,43,43,42,EURUSD,SELL,OUT,2.77,1.08543,1.08545,1.09145,-559.54,-15.12,0.00,sl 1.08545
2024.06.03 11:00:00,44,44,44,EURUSD,SELL,IN,2.62,1.08397,1.08597,1.07997,0.00,0.00,0.00,S&P Global Manufacturing PMI
2024.06.03 16:59:50,45,45,44,EURUSD,BUY,OUT,2.62,1.08597,1.08597,1.07997,-524.00,0.00,0.00,sl 1.08597
2024.06.14 21:00:00,46,46,46,EURUSD,SELL,IN,2.49,1.06980,1.07180,1.06580,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.06.17 14:38:02,47,47,46,EURUSD,BUY,OUT,2.49,1.07180,1.07180,1.06580,-498.00,7.64,0.00,sl 1.07180
2024.06.21 09:00:00,48,48,48,EURUSD,SELL,IN,2.37,1.07176,1.07376,1.06776,0.00,0.00,0.00,S&P Global Manufacturing PMI
2024.06.21 10:30:40,49,49,48,EURUSD,BUY,OUT,2.37,1.06776,1.07376,1.06776,948.00,0.00,0.00,tp 1.06776
2024.06.24 22:00:00,50,50,50,EURUSD,SELL,IN,2.61,1.07355,1.07555,1.06955,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.06.25 17:07:15,51,51,50,EURUSD,BUY,OUT,2.61,1.06954,1.07555,1.06955,1046.61,8.01,0.00,tp 1.06955
2024.07.03 10:00:00,52,52,52,EURUSD,BUY,IN,2.87,1.07481,1.07281,1.07881,0.00,0.00,0.00,PPI m/m
2024.07.03 16:45:29,53,53,52,EURUSD,SELL,OUT,2.87,1.07881,1.07281,1.07881,1148.00,0.00,0.00,tp 1.07881
2024.08.01 10:00:00,54,54,54,EURUSD,SELL,IN,3.16,1.08161,1.08361,1.07761,0.00,0.00,0.00,Unemployment Rate
2024.08.02 14:26:36,55,55,54,EURUSD,BUY,OUT,3.16,1.08361,1.08361,1.07761,-632.00,9.70,0.00,sl 1.08361
2024.08.14 10:00:00,56,56,56,EURUSD,BUY,IN,3.00,1.09959,1.09759,1.10359,0.00,0.00,0.00,Industrial Production m/m
2024.08.14 16:09:14,57,57,56,EURUSD,SELL,OUT,3.00,1.10359,1.09759,1.10359,1200.00,0.00,0.00,tp 1.10359
2024.09.04 09:00:00,58,58,58,EURUSD,BUY,IN,3.30,1.10587,1.10387,1.10987,0.00,0.00,0.00,S&P Global Services PMI
2024.09.05 11:26:28,59,59,58,EURUSD,SELL,OUT,3.30,1.10987,1.10387,1.10987,1320.00,-54.05,0.00,tp 1.10987
2024.10.03 10:00:00,60,60,60,EURUSD,SELL,IN,3.62,1.10377,1.10577,1.09977,0.00,0.00,0.00,PPI m/m
2024.10.04 15:30:24,61,61,60,EURUSD,BUY,OUT,3.62,1.09975,1.10577,1.09977,1455.24,11.11,0.00,tp 1.09977
2024.10.11 21:00:00,62,62,62,EURUSD,SELL,IN,3.99,1.09432,1.09632,1.09032,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
