TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.05 23:00:00,2,2,2,EURUSD,BUY,IN,2.50,1.09403,1.09203,1.09803,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.08 10:00:00,3,3,2,EURUSD,SELL,OUT,2.50,1.09452,1.09203,1.09803,122.50,-13.65,0.00,
2024.01.08 10:00:00,4,4,4,EURUSD,SELL,IN,2.50,1.09452,1.09652,1.09052,0.00,0.00,0.00,Business Climate Indicator
2024.01.08 17:10:17,5,5,4,EURUSD,BUY,OUT,2.50,1.09652,1.09652,1.09052,-500.00,0.00,0.00,sl 1.09652
2024.01.19 22:00:00,6,6,6,EURUSD,SELL,IN,2.40,1.08922,1.09122,1.08522,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.23 08:54:40,7,7,6,EURUSD,BUY,OUT,2.40,1.09122,1.09122,1.08522,-480.00,14.74,0.00,sl 1.09122
2024.01.23 16:00:00,8,8,8,EURUSD,SELL,IN,2.28,1.08740,1.08940,1.08340,0.00,0.00,0.00,Consumer Confidence Index
2024.01.23 17:34:59,9,9,8,EURUSD,BUY,OUT,2.28,1.08338,1.08940,1.08340,916.56,0.00,0.00,tp 1.08340
2024.01.26 22:00:00,10,10,10,EURUSD,SELL,IN,2.51,1.08581,1.08781,1.08181,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.01.29 12:22:29,11,11,10,EURUSD,BUY,OUT,2.51,1.08181,1.08781,1.08181,1004.00,7.71,0.00,tp 1.08181
2024.02.02 23:00:00,12,12,12,EURUSD,BUY,IN,2.76,1.07939,1.07739,1.08339,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.02.05 01:09:34,13,13,12,EURUSD,SELL,OUT,2.76,1.07739,1.07739,1.08339,-552.00,-15.07,0.00,sl 1.07739
2024.02.06 10:00:00,14,14,14,EURUSD,BUY,IN,2.62,1.07528,1.07328,1.07928,0.00,0.00,0.00,S&P Global Construction PMI
2024.02.06 11:53:25,15,15,14,EURUSD,SELL,OUT,2.62,1.07328,1.07328,1.07928,-524.00,0.00,0.00,sl 1.07328
2024.02.15 11:00:00,16,16,16,EURUSD,SELL,IN,2.49,1.07306,1.07506,1.06906,0.00,0.00,0.00,Trade Balance
2024.02.15 15:21:33,17,17,16,EURUSD,BUY,OUT,2.49,1.07506,1.07506,1.06906,-498.00,0.00,0.00,sl 1.07506
2024.02.21 16:00:00,18,18,18,EURUSD,BUY,IN,2.37,1.08112,1.07912,1.08512,0.00,0.00,0.00,Consumer Confidence Index
2024.02.22 09:40:03,19,19,18,EURUSD,SELL,OUT,2.37,1.08512,1.07912,1.08512,948.00,-38.82,0.00,tp 1.08512
2024.02.23 23:00:00,20,20,20,EURUSD,BUY,IN,2.59,1.08231,1.08031,1.08631,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.02.27 10:36:35,21,21,20,EURUSD,SELL,OUT,2.59,1.08631,1.08031,1.08631,1036.00,-28.28,0.00,tp 1.08631
2024.03.01 11:00:00,22,22,22,EURUSD,SELL,IN,2.84,1.08108,1.08308,1.07708,0.00,0.00,0.00,CPI y/y
2024.03.01 17:20:31,23,23,22,EURUSD,BUY,OUT,2.84,1.08311,1.08308,1.07708,-576.52,0.00,0.00,sl 1.08308
2024.03.06 10:00:00,24,24,24,EURUSD,SELL,IN,2.70,1.08618,1.08818,1.08218,0.00,0.00,0.00,S&P Global Construction PMI
2024.03.06 15:41:05,25,25,24,EURUSD,BUY,OUT,2.70,1.08818,1.08818,1.08218,-540.00,0.00,0.00,sl 1.08818
2024.03.08 22:00:00,26,26,26,EURUSD,BUY,IN,2.57,1.09427,1.09227,1.09827,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.03.11 15:48:59,27,27,26,EURUSD,SELL,OUT,2.57,1.09226,1.09227,1.09827,-516.57,-14.03,0.00,sl 1.09227
2024.03.15 12:00:00,28,28,28,EURUSD,SELL,IN,2.43,1.08981,1.09181,1.08581,0.00,0.00,0.00,Official Reserve Assets
2024.03.19 09:51:24,29,29,28,EURUSD,BUY,OUT,2.43,1.08581,1.09181,1.08581,972.00,14.92,0.00,tp 1.08581
2024.03.27 11:00:00,30,30,30,EURUSD,BUY,IN,2.68,1.08297,1.08097,1.08697,0.00,0.00,0.00,Consumer Price Expectations
2024.03.28 00:57:06,31,31,30,EURUSD,SELL,OUT,2.68,1.08097,1.08097,1.08697,-536.00,-43.90,0.00,sl 1.08097
2024.03.29 21:00:00,32,32,32,EURUSD,SELL,IN,2.53,1.07897,1.08097,1.07497,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.04.01 17:06:20,33,33,32,EURUSD,BUY,OUT,2.53,1.07497,1.08097,1.07497,1012.00,7.77,0.00,tp 1.07497
2024.04.03 10:00:00,34,34,34,EURUSD,SELL,IN,2.79,1.07695,1.07895,1.07295,0.00,0.00,0.00,CPI y/y
2024.04.03 16:30:05,35,35,34,EURUSD,BUY,OUT,2.79,1.07895,1.07895,1.07295,-558.00,0.00,0.00,sl 1.07895
2024.04.16 10:00:00,36,36,36,EURUSD,SELL,IN,2.65,1.06103,1.06303,1.05703,0.00,0.00,0.00,Trade Balance
2024.04.16 12:11:34,37,37,36,EURUSD,BUY,OUT,2.65,1.06304,1.06303,1.05703,-532.65,0.00,0.00,sl 1.06303
2024.04.19 22:00:00,38,38,38,EURUSD,SELL,IN,2.52,1.06506,1.06706,1.06106,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.04.22 04:48:41,39,39,38,EURUSD,BUY,OUT,2.52,1.06706,1.06706,1.06106,-504.00,7.74,0.00,sl 1.06706
2024.05.06 09:00:00,40,40,40,EURUSD,BUY,IN,2.39,1.07619,1.07419,1.08019,0.00,0.00,0.00,S&P Global Services PMI
2024.05.08 04:21:59,41,41,40,EURUSD,SELL,OUT,2.39,1.07419,1.07419,1.08019,-478.00,-26.10,0.00,sl 1.07419
2024.05.14 11:00:00,42,42,42,EURUSD,BUY,IN,2.27,1.07882,1.07682,1.08282,0.00,0.00,0.00,ZEW Economic Sentiment Indicato
2024.05.14 15:30:41,43,43,42,EURUSD,SELL,OUT,2.27,1.07682,1.07682,1.08282,-454.00,0.00,0.00,sl 1.07682
2024.05.15 11:00:00,44,44,44,EURUSD,BUY,IN,2.15,1.08267,1.08067,1.08667,0.00,0.00,0.00,Official Reserve Assets
2024.05.15 15:30:43,45,45,44,EURUSD,SELL,OUT,2.15,1.08668,1.08067,1.08667,862.15,0.00,0.00,tp 1.08667
2024.05.17 21:00:00,46,46,46,EURUSD,BUY,IN,2.37,1.08745,1.08545,1.09145,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.05.20 15:30:05,47,47,46,EURUSD,SELL,OUT,2.37,1.08543,1.08545,1.09145,-478.74,-12.94,0.00,sl 1.08545
2024.05.21 10:00:00,48,48,48,EURUSD,BUY,IN,2.25,1.08627,1.08427,1.09027,0.00,0.00,0.00,Trade Balance
2024.05.21 16:02:42,49,49,48,EURUSD,SELL,OUT,2.25,1.08426,1.08427,1.09027,-452.25,0.00,0.00,sl 1.08427
2024.06.14 21:00:00,50,50,50,EURUSD,SELL,IN,2.13,1.06980,1.07180,1.06580,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.06.17 14:38:02,51,51,50,EURUSD,BUY,OUT,2.13,1.07180,1.07180,1.06580,-426.00,6.54,0.00,sl 1.07180
2024.06.21 09:00:00,52,52,52,EURUSD,SELL,IN,2.03,1.07176,1.07376,1.06776,0.00,0.00,0.00,S&P Global Manufacturing PMI
2024.06.21 10:30:40,53,53,52,EURUSD,BUY,OUT,2.03,1.06776,1.07376,1.06776,812.00,0.00,0.00,tp 1.06776
2024.07.03 10:00:00,54,54,54,EURUSD,BUY,IN,2.23,1.07481,1.07281,1.07881,0.00,0.00,0.00,PPI m/m
2024.07.03 16:45:29,55,55,54,EURUSD,SELL,OUT,2.23,1.07881,1.07281,1.07881,892.00,0.00,0.00,tp 1.07881
2024.07.12 21:00:00,56,56,56,EURUSD,BUY,IN,2.45,1.09074,1.08874,1.09474,0.00,0.00,0.00,CFTC EUR Non-Commercial Net Pos
2024.07.15 00:05:00,57,57,56,EURUSD,SELL,OUT,2.45,1.08823,1.08874,1.09474,-614.95,-13.38,0.00,sl 1.08874
2024.07.15 11:00:00,58,58,58,EURUSD,BUY,IN,2.30,1.08965,1.08765,1.09365,0.00,0.00,0.00,Official Reserve Assets
2024.07.16 15:52:05,59,59,58,EURUSD,SELL,OUT,2.30,1.08765,1.08765,1.09365,-460.00,-12.56,0.00,sl 1.08765
2024.07.30 10:00:00,60,60,60,EURUSD,BUY,IN,2.18,1.08233,1.08033,1.08633,0.00,0.00,0.00,Consumer Price Expectations
2024.07.30 15:58:59,61,61,60,EURUSD,SELL,OUT,2.18,1.08030,1.08033,1.08633,-442.54,0.00,0.00,sl 1.08033
2024.08.01 10:00:00,62,62,62,EURUSD,SELL,IN,2.07,1.08161,1.08361,1.07761,0.00,0.00,0.00,Unemployment Rate
