TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.05 03:00:00,2,2,2,USDJPY,BUY,IN,3.62,144.812,144.612,145.212,0.00,0.00,0.00,au Jibun Bank Services PMI
2024.01.05 08:29:05,3,3,2,USDJPY,SELL,OUT,3.62,145.212,144.612,145.212,997.16,0.00,0.00,tp 145.212
2024.01.11 07:00:00,4,4,4,USDJPY,BUY,IN,3.99,145.396,145.196,145.796,0.00,0.00,0.00,Coincident Index
2024.01.11 15:30:38,5,5,4,USDJPY,SELL,OUT,3.99,145.796,145.196,145.796,1094.68,0.00,0.00,tp 145.796
2024.02.05 03:00:00,6,6,6,USDJPY,SELL,IN,4.40,148.689,148.889,148.289,0.00,0.00,0.00,au Jibun Bank Services PMI
2024.02.05 08:27:34,7,7,6,USDJPY,BUY,OUT,4.40,148.289,148.889,148.289,1186.87,0.00,0.00,tp 148.289
2024.03.06 13:00:00,8,8,8,USDJPY,SELL,IN,4.92,149.742,149.942,149.342,0.00,0.00,0.00,Labor Cash Earnings y/y
2024.03.06 16:00:39,9,9,8,USDJPY,BUY,OUT,4.92,149.342,149.942,149.342,1317.78,0.00,0.00,tp 149.342
2024.03.25 06:00:00,10,10,10,USDJPY,SELL,IN,5.44,151.233,151.433,150.833,0.00,0.00,0.00,Coincident Index
2024.03.25 11:03:33,11,11,10,USDJPY,BUY,OUT,5.44,151.433,151.433,150.833,-718.47,0.00,0.00,sl 151.433
2024.04.04 05:00:00,12,12,12,USDJPY,SELL,IN,5.25,151.643,151.843,151.243,0.00,0.00,0.00,30-Year JGB Auction
2024.04.04 21:55:17,13,13,12,USDJPY,BUY,OUT,5.25,151.243,151.843,151.243,1388.49,0.00,0.00,tp 151.243
2024.05.07 03:00:00,14,14,14,USDJPY,SELL,IN,5.77,154.243,154.443,153.843,0.00,0.00,0.00,au Jibun Bank Services PMI
2024.05.07 04:48:31,15,15,14,USDJPY,BUY,OUT,5.77,154.443,154.443,153.843,-747.20,0.00,0.00,sl 154.443
2024.05.09 06:00:00,16,16,16,USDJPY,SELL,IN,5.60,155.595,155.795,155.195,0.00,0.00,0.00,Coincident Index
2024.05.09 09:48:30,17,17,16,USDJPY,BUY,OUT,5.60,155.795,155.795,155.195,-718.89,0.00,0.00,sl 155.795
2024.06.06 05:00:00,18,18,18,USDJPY,SELL,IN,5.37,155.647,155.847,155.247,0.00,0.00,0.00,30-Year JGB Auction
2024.06.06 07:39:24,19,19,18,USDJPY,BUY,OUT,5.37,155.848,155.847,155.247,-692.58,0.00,0.00,sl 155.847
2024.06.07 06:00:00,20,20,20,USDJPY,SELL,IN,5.10,155.812,156.012,155.412,0.00,0.00,0.00,Coincident Index
2024.06.07 09:06:36,21,21,20,USDJPY,BUY,OUT,5.10,155.412,156.012,155.412,1312.64,0.00,0.00,tp 155.412
2024.06.14 06:00:00,22,22,22,USDJPY,SELL,IN,5.60,157.324,157.524,156.924,0.00,0.00,0.00,Tertiary Industry Activity Inde
2024.06.14 06:10:03,23,23,22,USDJPY,BUY,OUT,5.60,156.919,157.524,156.924,1445.33,0.00,0.00,tp 156.924
2024.07.04 05:00:00,24,24,24,USDJPY,SELL,IN,6.22,161.370,161.570,160.970,0.00,0.00,0.00,30-Year JGB Auction
2024.07.04 06:52:21,25,25,24,USDJPY,BUY,OUT,6.22,161.573,161.570,160.970,-781.48,0.00,0.00,sl 161.570
2024.07.05 06:00:00,26,26,26,USDJPY,SELL,IN,6.09,160.964,161.164,160.564,0.00,0.00,0.00,Coincident Index
2024.07.05 06:22:31,27,27,26,USDJPY,BUY,OUT,6.09,160.563,161.164,160.564,1520.95,0.00,0.00,tp 160.564
2024.07.08 07:00:00,28,28,28,USDJPY,SELL,IN,6.66,160.486,160.686,160.086,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.07.08 08:57:32,29,29,28,USDJPY,BUY,OUT,6.66,160.687,160.686,160.086,-833.09,0.00,0.00,sl 160.686
2024.07.26 06:00:00,30,30,30,USDJPY,SELL,IN,6.33,153.908,154.108,153.508,0.00,0.00,0.00,Coincident Index
2024.07.26 10:35:00,31,31,30,USDJPY,BUY,OUT,6.33,154.110,154.108,153.508,-829.71,0.00,0.00,sl 154.108
2024.08.05 03:00:00,32,32,32,USDJPY,SELL,IN,5.75,145.586,145.786,145.186,0.00,0.00,0.00,au Jibun Bank Services PMI
2024.08.05 03:00:42,33,33,32,USDJPY,BUY,OUT,5.75,145.786,145.786,145.186,-788.83,0.00,0.00,sl 145.786
2024.08.07 06:00:00,34,34,34,USDJPY,BUY,IN,5.15,146.844,146.644,147.244,0.00,0.00,0.00,Coincident Index
2024.08.07 06:02:40,35,35,34,USDJPY,SELL,OUT,5.15,146.641,146.644,147.244,-712.93,0.00,0.00,sl 146.644
2024.08.08 05:00:00,36,36,36,USDJPY,SELL,IN,4.92,146.371,146.571,145.971,0.00,0.00,0.00,30-Year JGB Auction
2024.08.08 05:14:14,37,37,36,USDJPY,BUY,OUT,4.92,146.571,146.571,145.971,-671.35,0.00,0.00,sl 146.571
2024.08.08 06:00:00,38,38,38,USDJPY,SELL,IN,4.67,146.594,146.794,146.194,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.08.08 07:03:31,39,39,38,USDJPY,BUY,OUT,4.67,146.194,146.794,146.194,1277.75,0.00,0.00,tp 146.194
