TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.05 03:00:00,2,2,2,USDJPY,BUY,IN,3.62,144.812,144.612,145.212,0.00,0.00,0.00,au Jibun Bank Services PMI
2024.01.05 08:29:05,3,3,2,USDJPY,SELL,OUT,3.62,145.212,144.612,145.212,997.16,0.00,0.00,tp 145.212
2024.01.11 06:00:00,4,4,4,USDJPY,BUY,IN,3.99,145.318,145.118,145.718,0.00,0.00,0.00,Coincident Index
2024.01.11 15:30:27,5,5,4,USDJPY,SELL,OUT,3.99,145.719,145.118,145.718,1098.00,0.00,0.00,tp 145.718
2024.01.18 06:00:00,6,6,6,USDJPY,BUY,IN,4.40,148.026,147.826,148.426,0.00,0.00,0.00,Industrial Production m/m
2024.01.18 08:02:35,7,7,6,USDJPY,SELL,OUT,4.40,147.826,147.826,148.426,-595.29,0.00,0.00,sl 147.826
2024.02.08 08:00:00,8,8,8,USDJPY,BUY,IN,4.25,148.585,148.385,148.985,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.02.08 12:34:41,9,9,8,USDJPY,SELL,OUT,4.25,148.991,148.385,148.985,1158.12,0.00,0.00,tp 148.985
2024.03.19 07:00:00,10,10,10,USDJPY,BUY,IN,4.71,149.979,149.779,150.379,0.00,0.00,0.00,Industrial Production m/m
2024.03.19 07:24:42,11,11,10,USDJPY,SELL,OUT,4.71,150.380,149.779,150.379,1255.96,0.00,0.00,tp 150.379
2024.04.05 06:00:00,12,12,12,USDJPY,BUY,IN,5.23,151.192,150.992,151.592,0.00,0.00,0.00,Coincident Index
2024.04.05 15:30:42,13,13,12,USDJPY,SELL,OUT,5.23,151.592,150.992,151.592,1380.02,0.00,0.00,tp 151.592
2024.04.29 13:00:00,14,14,14,USDJPY,BUY,IN,5.79,155.742,155.542,156.142,0.00,0.00,0.00,Retail Sales m/m
2024.04.29 13:18:38,15,15,14,USDJPY,SELL,OUT,5.79,155.542,155.542,156.142,-744.49,0.00,0.00,sl 155.542
2024.05.08 05:00:00,16,16,16,USDJPY,SELL,IN,5.65,155.144,155.344,154.744,0.00,0.00,0.00,10-Year JGB Auction
2024.05.08 10:01:30,17,17,16,USDJPY,BUY,OUT,5.65,155.345,155.344,154.744,-731.05,0.00,0.00,sl 155.344
2024.05.10 06:00:00,18,18,18,USDJPY,BUY,IN,5.36,155.769,155.569,156.169,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.05.10 09:01:27,19,19,18,USDJPY,SELL,OUT,5.36,155.569,155.569,156.169,-689.08,0.00,0.00,sl 155.569
2024.05.16 06:00:00,20,20,20,USDJPY,SELL,IN,5.10,154.010,154.210,153.610,0.00,0.00,0.00,Industrial Production m/m
2024.05.16 09:01:04,21,21,20,USDJPY,BUY,OUT,5.10,154.210,154.210,153.610,-661.44,0.00,0.00,sl 154.210
2024.05.27 06:00:00,22,22,22,USDJPY,BUY,IN,4.80,156.739,156.539,157.139,0.00,0.00,0.00,Coincident Index
2024.05.28 21:33:27,23,23,22,USDJPY,SELL,OUT,4.80,157.139,156.539,157.139,1221.85,12.39,0.00,tp 157.139
2024.06.07 08:00:00,24,24,24,USDJPY,SELL,IN,5.38,155.573,155.773,155.173,0.00,0.00,0.00,Coincident Index
2024.06.07 09:26:28,25,25,24,USDJPY,BUY,OUT,5.38,155.168,155.773,155.173,1404.22,0.00,0.00,tp 155.173
2024.06.10 07:00:00,26,26,26,USDJPY,BUY,IN,5.86,157.161,156.961,157.561,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.06.10 10:04:28,27,27,26,USDJPY,SELL,OUT,5.86,156.961,156.961,157.561,-746.68,0.00,0.00,sl 156.961
2024.06.14 07:00:00,28,28,28,USDJPY,SELL,IN,5.63,157.818,158.018,157.418,0.00,0.00,0.00,Tertiary Industry Activity Inde
2024.06.14 08:52:18,29,29,28,USDJPY,BUY,OUT,5.63,158.019,158.018,157.418,-716.14,0.00,0.00,sl 158.018
2024.07.03 03:00:00,30,30,30,USDJPY,BUY,IN,5.38,161.500,161.300,161.900,0.00,0.00,0.00,au Jibun Bank Services PMI
2024.07.03 09:10:04,31,31,30,USDJPY,SELL,OUT,5.38,161.900,161.300,161.900,1329.22,0.00,0.00,tp 161.900
2024.07.05 07:00:00,32,32,32,USDJPY,SELL,IN,6.06,160.615,160.815,160.215,0.00,0.00,0.00,Coincident Index
2024.07.05 10:01:14,33,33,32,USDJPY,BUY,OUT,6.06,160.816,160.815,160.215,-757.42,0.00,0.00,sl 160.815
2024.07.26 06:00:00,34,34,34,USDJPY,SELL,IN,5.71,153.908,154.108,153.508,0.00,0.00,0.00,Coincident Index
2024.07.26 10:35:00,35,35,34,USDJPY,BUY,OUT,5.71,154.110,154.108,153.508,-748.44,0.00,0.00,sl 154.108
2024.08.05 03:00:00,36,36,36,USDJPY,SELL,IN,5.18,145.586,145.786,145.186,0.00,0.00,0.00,au Jibun Bank Services PMI
2024.08.05 03:00:42,37,37,36,USDJPY,BUY,OUT,5.18,145.786,145.786,145.186,-710.63,0.00,0.00,sl 145.786
2024.08.06 05:00:00,38,38,38,USDJPY,BUY,IN,4.64,144.804,144.604,145.204,0.00,0.00,0.00,10-Year JGB Auction
2024.08.06 05:04:17,39,39,38,USDJPY,SELL,OUT,4.64,144.603,144.604,145.204,-644.97,0.00,0.00,sl 144.604
