TIME,DEAL_TICKET,ORDER_TICKET,POSITION_ID,SYMBOL,DEAL_TYPE,ENTRY,VOLUME,PRICE,SL,TP,PROFIT,SWAP,COMMISSION,COMMENT
2024.01.11 07:00:00,2,2,2,USDJPY,BUY,IN,3.63,145.396,145.196,145.796,0.00,0.00,0.00,Coincident Index
2024.01.11 15:30:38,3,3,2,USDJPY,SELL,OUT,3.63,145.796,145.196,145.796,995.91,0.00,0.00,tp 145.796
2024.01.12 07:00:00,4,4,4,USDJPY,SELL,IN,4.00,144.997,145.197,144.597,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.01.12 07:10:39,5,5,4,USDJPY,BUY,OUT,4.00,145.197,145.197,144.597,-550.98,0.00,0.00,sl 145.197
2024.01.18 06:00:00,6,6,6,USDJPY,BUY,IN,3.79,148.026,147.826,148.426,0.00,0.00,0.00,Industrial Production m/m
2024.01.18 08:02:35,7,7,6,USDJPY,SELL,OUT,3.79,147.826,147.826,148.426,-512.77,0.00,0.00,sl 147.826
2024.01.26 07:00:00,8,8,8,USDJPY,SELL,IN,3.67,147.793,147.993,147.393,0.00,0.00,0.00,Coincident Index
2024.01.26 11:09:38,9,9,8,USDJPY,BUY,OUT,3.67,147.998,147.993,147.393,-508.35,0.00,0.00,sl 147.993
2024.03.06 13:00:00,10,10,10,USDJPY,SELL,IN,3.48,149.742,149.942,149.342,0.00,0.00,0.00,Labor Cash Earnings y/y
2024.03.06 16:00:39,11,11,10,USDJPY,BUY,OUT,3.48,149.342,149.942,149.342,932.09,0.00,0.00,tp 149.342
2024.03.19 07:00:00,12,12,12,USDJPY,BUY,IN,3.86,149.979,149.779,150.379,0.00,0.00,0.00,Industrial Production m/m
2024.03.19 07:24:42,13,13,12,USDJPY,SELL,OUT,3.86,150.380,149.779,150.379,1029.30,0.00,0.00,tp 150.379
2024.03.25 06:00:00,14,14,14,USDJPY,SELL,IN,4.28,151.233,151.433,150.833,0.00,0.00,0.00,Coincident Index
2024.03.25 11:03:33,15,15,14,USDJPY,BUY,OUT,4.28,151.433,151.433,150.833,-565.27,0.00,0.00,sl 151.433
2024.04.04 05:00:00,16,16,16,USDJPY,SELL,IN,4.09,151.643,151.843,151.243,0.00,0.00,0.00,30-Year JGB Auction
2024.04.04 21:55:17,17,17,16,USDJPY,BUY,OUT,4.09,151.243,151.843,151.243,1081.70,0.00,0.00,tp 151.243
2024.04.12 06:00:00,18,18,18,USDJPY,SELL,IN,4.50,153.174,153.374,152.774,0.00,0.00,0.00,Industrial Production m/m
2024.04.12 10:10:05,19,19,18,USDJPY,BUY,OUT,4.50,153.374,153.374,152.774,-586.80,0.00,0.00,sl 153.374
2024.04.18 06:00:00,20,20,20,USDJPY,SELL,IN,4.33,154.130,154.330,153.730,0.00,0.00,0.00,Tertiary Industry Activity Inde
2024.04.18 06:31:40,21,21,20,USDJPY,BUY,OUT,4.33,154.330,154.330,153.730,-561.14,0.00,0.00,sl 154.330
2024.04.29 13:00:00,22,22,22,USDJPY,BUY,IN,4.14,155.742,155.542,156.142,0.00,0.00,0.00,Retail Sales m/m
2024.04.29 13:18:38,23,23,22,USDJPY,SELL,OUT,4.14,155.542,155.542,156.142,-532.33,0.00,0.00,sl 155.542
2024.05.09 08:00:00,24,24,24,USDJPY,SELL,IN,3.97,155.564,155.764,155.164,0.00,0.00,0.00,Coincident Index
2024.05.09 09:16:37,25,25,24,USDJPY,BUY,OUT,3.97,155.765,155.764,155.164,-512.29,0.00,0.00,sl 155.764
2024.05.10 05:00:00,26,26,26,USDJPY,SELL,IN,3.78,155.694,155.894,155.294,0.00,0.00,0.00,30-Year JGB Auction
2024.05.10 17:56:00,27,27,26,USDJPY,BUY,OUT,3.78,155.894,155.894,155.294,-484.94,0.00,0.00,sl 155.894
2024.05.16 07:00:00,28,28,28,USDJPY,SELL,IN,3.59,153.967,154.167,153.567,0.00,0.00,0.00,Industrial Production m/m
2024.05.16 08:51:33,29,29,28,USDJPY,BUY,OUT,3.59,154.168,154.167,153.567,-468.05,0.00,0.00,sl 154.167
2024.05.30 13:00:00,30,30,30,USDJPY,SELL,IN,3.37,156.918,157.118,156.518,0.00,0.00,0.00,Retail Sales m/m
2024.05.30 16:11:19,31,31,30,USDJPY,BUY,OUT,3.37,156.517,157.118,156.518,863.40,0.00,0.00,tp 156.518
2024.06.06 05:00:00,32,32,32,USDJPY,SELL,IN,3.76,155.647,155.847,155.247,0.00,0.00,0.00,30-Year JGB Auction
2024.06.06 07:39:24,33,33,32,USDJPY,BUY,OUT,3.76,155.848,155.847,155.247,-484.93,0.00,0.00,sl 155.847
2024.06.07 06:00:00,34,34,34,USDJPY,SELL,IN,3.55,155.812,156.012,155.412,0.00,0.00,0.00,Coincident Index
2024.06.07 09:06:36,35,35,34,USDJPY,BUY,OUT,3.55,155.412,156.012,155.412,913.70,0.00,0.00,tp 155.412
2024.06.14 06:00:00,36,36,36,USDJPY,SELL,IN,3.90,157.324,157.524,156.924,0.00,0.00,0.00,Tertiary Industry Activity Inde
2024.06.14 06:10:03,37,37,36,USDJPY,BUY,OUT,3.90,156.919,157.524,156.924,1006.57,0.00,0.00,tp 156.924
2024.07.04 05:00:00,38,38,38,USDJPY,SELL,IN,4.33,161.370,161.570,160.970,0.00,0.00,0.00,30-Year JGB Auction
2024.07.04 06:52:21,39,39,38,USDJPY,BUY,OUT,4.33,161.573,161.570,160.970,-544.02,0.00,0.00,sl 161.570
2024.07.05 06:00:00,40,40,40,USDJPY,SELL,IN,4.24,160.964,161.164,160.564,0.00,0.00,0.00,Coincident Index
2024.07.05 06:22:31,41,41,40,USDJPY,BUY,OUT,4.24,160.563,161.164,160.564,1058.92,0.00,0.00,tp 160.564
2024.08.07 06:00:00,42,42,42,USDJPY,BUY,IN,4.64,146.844,146.644,147.244,0.00,0.00,0.00,Coincident Index
2024.08.07 06:02:40,43,43,42,USDJPY,SELL,OUT,4.64,146.641,146.644,147.244,-642.33,0.00,0.00,sl 146.644
2024.08.08 07:00:00,44,44,44,USDJPY,SELL,IN,4.00,146.383,146.583,145.983,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.08.08 07:37:41,45,45,44,USDJPY,BUY,OUT,4.00,145.982,146.583,145.983,1098.77,0.00,0.00,tp 145.983
2024.08.16 06:00:00,46,46,46,USDJPY,BUY,IN,4.38,148.887,148.687,149.287,0.00,0.00,0.00,Tertiary Industry Activity Inde
2024.08.16 11:33:38,47,47,46,USDJPY,SELL,OUT,4.38,148.686,148.687,149.287,-592.11,0.00,0.00,sl 148.687
2024.09.06 06:00:00,48,48,48,USDJPY,SELL,IN,4.25,143.199,143.399,142.799,0.00,0.00,0.00,Coincident Index
2024.09.06 08:07:39,49,49,48,USDJPY,BUY,OUT,4.25,142.798,143.399,142.799,1193.47,0.00,0.00,tp 142.799
2024.09.17 06:00:00,50,50,50,USDJPY,SELL,IN,4.50,140.575,140.775,140.175,0.00,0.00,0.00,Tertiary Industry Activity Inde
2024.09.17 08:02:37,51,51,50,USDJPY,BUY,OUT,4.50,140.776,140.775,140.175,-642.51,0.00,0.00,sl 140.775
2024.10.07 07:00:00,52,52,52,USDJPY,BUY,IN,4.21,148.417,148.217,148.817,0.00,0.00,0.00,Coincident Index
2024.10.07 10:38:46,53,53,52,USDJPY,SELL,OUT,4.21,148.217,148.217,148.817,-568.09,0.00,0.00,sl 148.217
2024.10.08 06:00:00,54,54,54,USDJPY,BUY,IN,4.23,147.700,147.500,148.100,0.00,0.00,0.00,Economy Watchers Index for Curr
2024.10.08 07:28:05,55,55,54,USDJPY,SELL,OUT,4.23,148.102,147.500,148.100,1148.17,0.00,0.00,tp 148.100
2024.10.25 07:00:00,56,56,56,USDJPY,SELL,IN,4.65,151.851,152.051,151.451,0.00,0.00,0.00,Coincident Index
2024.10.25 11:04:45,57,57,56,USDJPY,BUY,OUT,4.65,152.051,152.051,151.451,-611.64,0.00,0.00,sl 152.051
2024.11.25 06:00:00,58,58,58,USDJPY,BUY,IN,4.54,153.957,153.757,154.357,0.00,0.00,0.00,Coincident Index
2024.11.25 07:43:40,59,59,58,USDJPY,SELL,OUT,4.54,154.362,153.757,154.357,1191.16,0.00,0.00,tp 154.357
2024.12.06 06:00:00,60,60,60,USDJPY,SELL,IN,5.07,149.883,150.083,149.483,0.00,0.00,0.00,Coincident Index
2024.12.06 09:22:41,61,61,60,USDJPY,BUY,OUT,5.07,150.083,150.083,149.483,-675.63,0.00,0.00,sl 150.083
2024.12.09 06:00:00,62,62,62,USDJPY,SELL,IN,4.67,149.977,150.177,149.577,0.00,0.00,0.00,Economy Watchers Index for Curr
