Id,Datetime,Time,Name,CountryCode,CountryName,Importance,Actual,Forecast,Previous,Impact,Url
192168,2024.01.02 09:30:00,09:30,S&P Global/CIPS Manufacturing PMI,GB,United Kingdom,2,46.2,46.4,46.4,2,https://www.markiteconomics.com
174223,2024.01.04 09:30:00,09:30,BoE Consumer Credit m/m,GB,United Kingdom,1,2.005,1.348,1.411,1,https://www.bankofengland.co.uk/
174224,2024.01.04 09:30:00,09:30,BoE M4 Money Supply m/m,GB,United Kingdom,1,-0.1,-0.2,0.3,1,https://www.bankofengland.co.uk/
174225,2024.01.04 09:30:00,09:30,BoE Mortgage Approvals,GB,United Kingdom,1,50.067,45.302,47.888,1,https://www.bankofengland.co.uk/
174226,2024.01.04 09:30:00,09:30,BoE Mortgage Lending m/m,GB,United Kingdom,1,-0.039,0.101,-0.083,2,https://www.bankofengland.co.uk/
174227,2024.01.04 09:30:00,09:30,BoE Net Lending to Individuals m/m,GB,United Kingdom,1,1.966,1.479,1.329,1,https://www.bankofengland.co.uk/
192204,2024.01.04 09:30:00,09:30,S&P Global/CIPS Services PMI,GB,United Kingdom,2,53.4,52.7,52.7,1,https://www.markiteconomics.com
192205,2024.01.04 09:30:00,09:30,S&P Global/CIPS Composite PMI,GB,United Kingdom,2,52.1,0,51.7,0,https://www.markiteconomics.com
185273,2024.01.05 07:00:00,07:00,Halifax HPI m/m,GB,United Kingdom,2,1.1,-0.1,0.6,1,https://www.halifax.co.uk/
185274,2024.01.05 07:00:00,07:00,Halifax HPI y/y,GB,United Kingdom,2,1.7,1,-0.8,1,https://www.halifax.co.uk/
180659,2024.01.05 09:00:00,09:00,New Car Registrations m/m,GB,United Kingdom,1,-9.9,0,2,0,https://www.smmt.co.uk/
180671,2024.01.05 09:00:00,09:00,New Car Registrations y/y,GB,United Kingdom,1,9.8,0,9.5,0,https://www.smmt.co.uk/
187893,2024.01.05 09:30:00,09:30,BoE Housing Equity Withdrawal q/q,GB,United Kingdom,1,-21.773,-14.687,-23.451,2,https://www.bankofengland.co.uk/
192257,2024.01.05 09:30:00,09:30,S&P Global/CIPS Construction PMI,GB,United Kingdom,2,46.8,45.5,45.5,1,https://www.markiteconomics.com
190579,2024.01.05 20:30:00,20:30,CFTC GBP Non-Commercial Net Positions,GB,United Kingdom,2,15.2,0,14.1,0,https://www.cftc.gov/
193136,2024.01.10 10:30:00,10:30,5-Year Treasury Gilt Auction,GB,United Kingdom,1,3.887,0,4.041,0,https://www.dmo.gov.uk/
186125,2024.01.12 07:00:00,07:00,Construction Output m/m,GB,United Kingdom,1,-0.2,-0.2,-0.4,0,https://www.ons.gov.uk/
186131,2024.01.12 07:00:00,07:00,Construction Output y/y,GB,United Kingdom,1,0.9,2,1.3,2,https://www.ons.gov.uk/
